id,D,R,GR,LB,C,O,I,total
ALH01,2,3,,,,,,5
ALH02,2,3,,,,,,5
ALH03,2,3,,,,,,5
ALH04,1,4,,,,,,5
ALH05,2,3,,,,,,5
ALH06,1,4,,,,,,5
ALH07,3,1,1,,,,,5
AKH01,2,3,,,,,,5
AZH01,3,2,,,,,,5
AZH02,3,2,,,,,,5
AZH03,3,2,,,,,,5
AZH04,1,4,,,,,,5
AZH05,2,3,,,,,,5
AZH06,2,3,,,,,,5
AZH07,3,1,1,,,,,5
AZH08,2,3,,,,,,5
AZH09,3,2,,,,,,5
ARH01,1,4,,,,,,5
ARH02,2,3,,,,,,5
ARH03,2,3,,,,,,5
ARH04,1,4,,,,,,5
CAH01,2,3,,,,,,5
CAH02,4,1,,,,,,5
CAH03,3,2,,,,,,5
CAH04,2,3,,,,,,5
CAH05,3,,,,,2,,5
CAH06,3,1,1,,,,,5
CAH07,3,2,,,,,,5
CAH08,1,3,,1,,,,5
CAH09,3,2,,,,,,5
CAH10,3,2,,,,,,5
CAH11,4,1,,,,,,5
CAH12,5,0,,,,,,5
CAH13,3,1,1,,,,,5
CAH14,4,1,,,,,,5
CAH15,4,1,,,,,,5
CAH16,3,2,,,,,,5
CAH17,4,1,,,,,,5
CAH18,4,1,,,,,,5
CAH19,4,1,,,,,,5
CAH20,3,,,,,2,,5
CAH21,3,2,,,,,,5
CAH22,2,3,,,,,,5
CAH23,2,3,,,,,,5
CAH24,3,2,,,,,,5
CAH25,3,2,,,,,,5
CAH26,3,2,,,,,,5
CAH27,3,1,1,,,,,5
CAH28,4,1,,,,,,5
CAH29,4,1,,,,,,5
CAH30,4,1,,,,,,5
CAH31,3,2,,,,,,5
CAH32,4,1,,,,,,5
CAH33,4,1,,,,,,5
CAH34,2,,3,,,,,5
CAH35,4,1,,,,,,5
CAH36,3,2,,,,,,5
CAH37,5,0,,,,,,5
CAH38,4,1,,,,,,5
CAH39,3,2,,,,,,5
CAH40,3,,2,,,,,5
CAH41,3,2,,,,,,5
CAH42,2,3,,,,,,5
CAH43,4,1,,,,,,5
CAH44,3,1,1,,,,,5
CAH45,3,2,,,,,,5
CAH46,4,1,,,,,,5
CAH47,3,2,,,,,,5
CAH48,3,2,,,,,,5
CAH49,3,2,,,,,,5
CAH50,2,3,,,,,,5
CAH51,4,1,,,,,,5
CAH52,3,2,,,,,,5
CAH53,4,1,,,,,,5
COH01,4,1,,,,,,5
COH02,3,2,,,,,,5
COH03,2,3,,,,,,5
COH04,2,3,,,,,,5
COH05,2,3,,,,,,5
COH06,3,2,,,,,,5
COH07,3,2,,,,,,5
CTH01,3,2,,,,,,5
CTH02,3,2,,,,,,5
CTH03,3,2,,,,,,5
CTH04,3,2,,,,,,5
CTH05,3,2,,,,,,5
DEH01,3,2,,,,,,5
FLH01,1,4,,,,,,5
FLH02,1,4,,,,,,5
FLH03,2,3,,,,,,5
FLH04,1,4,,,,,,5
FLH05,4,1,,,,,,5
FLH06,2,3,,,,,,5
FLH07,3,2,,,,,,5
FLH08,2,3,,,,,,5
FLH09,3,2,,,,,,5
FLH10,3,1,1,,,,,5
FLH11,2,3,,,,,,5
FLH12,2,3,,,,,,5
FLH13,3,2,,,,,,5
FLH14,3,1,1,,,,,5
FLH15,2,3,,,,,,5
FLH16,2,3,,,,,,5
FLH17,2,3,,,,,,5
FLH18,2,3,,,,,,5
FLH19,2,3,,,,,,5
FLH20,3,1,1,,,,,5
FLH21,3,1,1,,,,,5
FLH22,3,2,,,,,,5
FLH23,3,2,,,,,,5
FLH24,3,1,1,,,,,5
FLH25,2,3,,,,,,5
FLH26,3,2,,,,,,5
FLH27,3,2,,,,,,5
GAH01,2,3,,,,,,5
GAH02,3,2,,,,,,5
GAH03,2,3,,,,,,5
GAH04,4,1,,,,,,5
GAH05,3,1,1,,,,,5
GAH06,3,2,,,,,,5
GAH07,2,3,,,,,,5
GAH08,1,3,,1,,,,5
GAH09,1,4,,,,,,5
GAH10,2,3,,,,,,5
GAH11,2,3,,,,,,5
GAH12,2,3,,,,,,5
GAH13,4,1,,,,,,5
GAH14,1,4,,,,,,5
HIH01,4,1,,,,,,5
HIH02,4,1,,,,,,5
IDH01,1,4,,,,,,5
IDH02,2,3,,,,,,5
ILH01,4,1,,,,,,5
ILH02,4,1,,,,,,5
ILH03,4,1,,,,,,5
ILH04,5,0,,,,,,5
ILH05,4,1,,,,,,5
ILH06,3,2,,,,,,5
ILH07,5,0,,,,,,5
ILH08,3,2,,,,,,5
ILH09,4,1,,,,,,5
ILH10,3,2,,,,,,5
ILH11,3,2,,,,,,5
ILH12,2,3,,,,,,5
ILH13,2,3,,,,,,5
ILH14,3,2,,,,,,5
ILH15,1,4,,,,,,5
ILH16,2,3,,,,,,5
ILH17,3,2,,,,,,5
ILH18,1,4,,,,,,5
INH01,3,2,,,,,,5
INH02,2,3,,,,,,5
INH03,2,3,,,,,,5
INH04,2,3,,,,,,5
INH05,2,3,,,,,,5
INH06,2,3,,,,,,5
INH07,3,2,,,,,,5
INH08,2,3,,,,,,5
INH09,2,3,,,,,,5
IAH01,3,2,,,,,,5
IAH02,3,2,,,,,,5
IAH03,3,2,,,,,,5
IAH04,2,3,,,,,,5
KSH01,1,4,,,,,,5
KSH02,2,3,,,,,,5
KSH03,3,2,,,,,,5
KSH04,2,3,,,,,,5
KYH01,1,4,,,,,,5
KYH02,1,4,,,,,,5
KYH03,3,2,,,,,,5
KYH04,2,3,,,,,,5
KYH05,1,4,,,,,,5
KYH06,2,3,,,,,,5
LAH01,1,4,,0,,,0,5
LAH02,3,,,,,,2,5
LAH03,2,3,,,,,,5
LAH04,2,3,,,,0,,5
LAH05,1,4,,0,,,0,5
LAH06,1,4,,,,,0,5
MEH01,3,2,,,,,,5
MEH02,3,2,,,,,,5
MDH01,2,3,,,,,,5
MDH02,4,1,,,,,,5
MDH03,4,1,,,,,,5
MDH04,4,1,,,,,,5
MDH05,4,1,,,,,,5
MDH06,3,2,,,,,,5
MDH07,4,1,,,,,,5
MDH08,4,1,,,,,,5
MAH01,3,1,1,,,,,5
MAH02,4,1,,,,,,5
MAH03,3,2,,,,,,5
MAH04,3,1,1,,,,,5
MAH05,4,1,,,,,,5
MAH06,4,1,,,,,,5
MAH07,3,1,1,,,,,5
MAH08,3,1,1,,,,,5
MAH09,3,2,,,,,,5
MIH01,2,3,,,,,,5
MIH02,2,3,,,,,,5
MIH03,2,3,,,,,,5
MIH04,2,3,,,,,,5
MIH05,3,2,,,,,,5
MIH06,2,3,,,,,,5
MIH07,2,3,,,,,,5
MIH08,3,2,,,,,,5
MIH09,3,2,,,,,,5
MIH10,2,3,,,,,,5
MIH11,3,2,,,,,,5
MIH12,4,1,,,,,,5
MIH13,3,1,0,,,1,,5
MIH14,4,1,,,,,,5
MNH01,2,3,,,,,,5
MNH02,3,2,,,,,,5
MNH03,3,2,,,,,,5
MNH04,4,1,,,,,,5
MNH05,4,1,,,,,,5
MNH06,2,3,,,,,,5
MNH07,3,2,,,,,,5
MNH08,2,3,,,,,,5
MSH01,1,4,,,,,,5
MSH02,3,1,1,,,,,5
MSH03,2,3,,,,,,5
MSH04,1,4,,,,,,5
MOH01,4,1,,,,,,5
MOH02,2,3,,,,,,5
MOH03,2,3,,,,,,5
MOH04,2,3,,,,,,5
MOH05,3,2,,,,,,5
MOH06,1,4,,,,,,5
MOH07,1,4,,,,,,5
MOH08,1,4,,,,,,5
MTH01,2,3,,,,,,5
NEH01,2,3,,,,,,5
NEH02,2,3,,,,,,5
NEH03,1,4,,,,,,5
NVH01,4,1,,,,,,5
NVH02,2,3,,,,,,5
NVH03,3,2,,,,,,5
NVH04,3,2,,,,,,5
NHH01,3,2,,,,,,5
NHH02,3,2,,,,,,5
NJH01,3,2,,,,,,5
NJH02,3,2,,,,,,5
NJH03,3,2,,,,,,5
NJH04,2,3,,,,,,5
NJH05,3,2,,,,,,5
NJH06,3,2,,,,,,5
NJH07,3,2,,,,,,5
NJH08,4,1,,,,,,5
NJH09,4,1,,,,,,5
NJH10,5,0,,,,,,5
NJH11,3,2,,,,,,5
NJH12,4,1,,,,,,5
NMH01,3,2,,,,,,5
NMH02,3,2,,,,,,5
NMH03,4,1,,,,,,5
NYH01,2,3,,,,,,5
NYH02,2,3,,,,,,5
NYH03,3,2,,,,,,5
NYH04,3,2,,,,,,5
NYH05,3,1,1,,,,,5
NYH06,3,1,1,,,,,5
NYH07,3,1,1,,,,,5
NYH08,4,1,,,0,0,,5
NYH09,5,0,,,,,,5
NYH10,4,1,,,,,,5
NYH11,3,2,,,,,,5
NYH12,5,0,,,,,,5
NYH13,5,0,,,,,,5
NYH14,5,0,,,,0,,5
NYH15,5,0,,,,,,5
NYH16,3,1,1,,,,,5
NYH17,3,1,,,,1,,5
NYH18,3,2,,,,,,5
NYH19,3,2,,,,,,5
NYH20,3,2,,,,,,5
NYH21,2,3,,,,,,5
NYH22,3,2,,,,,,5
NYH23,2,3,,,,,,5
NYH24,2,3,,,,,,5
NYH25,3,2,,,,,,5
NYH26,4,1,,,,,,5
NYH27,2,3,,,,,,5
NCH01,4,1,,,,,,5
NCH02,2,3,,,,,,5
NCH03,1,3,,1,,,,5
NCH04,4,1,,,,,,5
NCH05,2,3,,,,,,5
NCH06,2,3,,,,,,5
NCH07,2,3,,,,,,5
NCH08,2,3,,,,,,5
NCH09,2,3,,,,,,5
NCH10,2,3,,,,,,5
NCH11,2,3,,,,,,5
NCH12,4,1,,,,,,5
NCH13,2,3,,,,,,5
NDH01,2,3,,,,,,5
OHH01,2,3,,,,,,5
OHH02,2,3,,,,,,5
OHH03,4,1,,,,,,5
OHH04,2,3,,,,,,5
OHH05,2,3,,,,,,5
OHH06,1,4,,,,,,5
OHH07,2,3,,,,,,5
OHH08,2,3,,,,,,5
OHH09,4,1,,,,,,5
OHH10,2,3,,,,,,5
OHH11,4,1,,,,,,5
OHH12,2,3,,,,,,5
OHH13,3,2,,,,,,5
OHH14,2,3,,,,,,5
OHH15,2,3,,,,,,5
OHH16,2,3,,,,,,5
OKH01,2,3,,,,,,5
OKH02,1,4,,,,,,5
OKH03,1,4,,,,,,5
OKH04,2,3,,,,,,5
OKH05,3,2,,,,,,5
ORH01,3,2,,,,,,5
ORH02,2,3,,,,,,5
ORH03,4,1,,,,,,5
ORH04,3,2,,,,,,5
ORH05,3,2,,,,,,5
PAH01,2,3,,,,,,5
PAH02,4,1,,,,,,5
PAH03,5,0,,,,,,5
PAH04,3,2,,,,,,5
PAH05,3,2,,,,,,5
PAH06,3,2,,,,,,5
PAH07,3,2,,,,,,5
PAH08,3,2,,,,,,5
PAH09,2,3,,,,,,5
PAH10,2,3,,,,,,5
PAH11,2,3,,,,,,5
PAH12,2,3,,,,,,5
PAH13,1,4,,,,,,5
PAH14,2,3,,,,,,5
PAH15,1,4,,,,,,5
PAH16,2,3,,,,,,5
PAH17,3,2,,,,,,5
PAH18,3,1,1,,,,,5
RIH01,4,1,,,,,,5
RIH02,3,2,,,,,,5
SCH01,3,2,,,,,,5
SCH02,2,3,,,,,,5
SCH03,1,4,,,,,,5
SCH04,2,3,,,,,,5
SCH05,2,3,,,,,,5
SCH06,4,1,,,,,,5
SCH07,2,3,,,,,,5
SDH01,2,3,,,,,,5
TNH01,1,4,,,,,,5
TNH02,2,3,,,,,,5
TNH03,2,3,,,,,,5
TNH04,2,3,,,,,,5
TNH05,4,1,,,,,,5
TNH06,1,4,,,,,,5
TNH07,1,4,,,,,,5
TNH08,1,4,,,,,,5
TNH09,4,1,,,,,,5
TXH01,1,4,,,,,,5
TXH02,2,3,,,,,,5
TXH03,2,3,,,,,,5
TXH04,1,4,,,,,,5
TXH05,2,3,,,,,,5
TXH06,2,3,,,,,,5
TXH07,3,2,,,,,,5
TXH08,1,4,,,,,,5
TXH09,4,1,,0,,,0,5
TXH10,2,3,,,,,,5
TXH11,1,4,,,,,,5
TXH12,2,3,,,,,,5
TXH13,1,4,,,,,,5
TXH14,2,3,,,,,,5
TXH15,3,2,,,,,,5
TXH16,4,1,,,,,,5
TXH17,2,3,,,,,,5
TXH18,4,1,,,,,,5
TXH19,1,4,,,,,,5
TXH20,3,,,2,,,,5
TXH21,2,3,,,,,,5
TXH22,2,3,,,,,,5
TXH23,2,3,,,,,,5
TXH24,2,3,,,,,,5
TXH25,2,3,,,,,,5
TXH26,2,3,,,,,,5
TXH27,2,3,,,,,,5
TXH28,3,1,,1,,,,5
TXH29,4,1,,,,,,5
TXH30,3,1,,1,,,,5
TXH31,2,3,,,,,,5
TXH32,3,2,,,,,,5
TXH33,4,1,,,,,,5
TXH34,3,2,,,,,,5
TXH35,4,1,,,,,,5
TXH36,1,4,,,,,,5
UTH01,1,4,,,,,,5
UTH02,2,3,,,,,,5
UTH03,1,4,,,,,,5
UTH04,3,2,,,,,,5
VTH01,4,1,,,,,,5
VAH01,2,3,,,,,,5
VAH02,3,2,,,,,,5
VAH03,3,1,1,,,,,5
VAH04,3,2,,,,,,5
VAH05,2,3,,,,,,5
VAH06,2,3,,,,,,5
VAH07,3,2,,,,,,5
VAH08,4,1,,,,,,5
VAH09,2,3,,,,,,5
VAH10,3,2,,,,,,5
VAH11,4,1,,,,,,5
WAH01,3,2,,,,,,5
WAH02,2,,,3,,,,5
WAH03,2,3,,,,,,5
WAH04,2,3,,,,,,5
WAH05,2,3,,,,,,5
WAH06,3,2,,,,,,5
WAH07,5,0,,,,,,5
WAH08,3,2,,,,,,5
WAH09,3,1,1,,,,,5
WAH10,3,2,,,,,,5
WVH01,2,3,,,,,,5
WVH02,2,3,,,,0,,5
WVH03,2,3,,,,,,5
WIH01,2,3,,,,,,5
WIH02,3,1,1,,,,,5
WIH03,3,2,,,,,,5
WIH04,4,1,,,,,,5
WIH05,2,3,,,,,,5
WIH06,2,3,,,,,,5
WIH07,2,3,,,,,,5
WIH08,2,3,,,,,,5
WYH01,1,4,,,,,,5